PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Plug_LeverRF;368;0;1500lb;181;800
DN80;Plug_LeverRF;470;0;1500lb;224;1000
DN100;Plug_GearRF;546;0;1500lb;570;600
DN150;Plug_GearRF;705;0;1500lb;725;600
DN200;Plug_GearRF;832;0;1500lb;765;600
DN250;Plug_GearRF;991;0;1500lb;805;600
DN300;Plug_GearRF;1130;0;1500lb;865;600
