PSize;FlangeType;D;t;f;n;df;drf;trf
DN15;BL;120.65;22.35;22.35;4;82.55;35.05;6.4
DN20;BL;130.05;25.4;22.35;4;88.9;42.93;6.4
DN25;BL;149.35;28.45;25.4;4;101.6;50.8;6.4
DN32;BL;158.75;28.45;25.4;4;111.25;63.5;6.4
DN40;BL;177.8;31.75;28.45;4;123.95;73.15;6.4
DN50;BL;215.9;38.1;25.4;8;165.1;91.95;6.4
DN65;BL;244.35;41.15;28.45;8;190.5;104.65;6.4
DN80;BL;241.3;38.1;25.4;8;190.5;127;6.4
DN100;BL;292.1;44.45;31.75;8;234.95;157.23;6.4
DN125;BL;349.25;50.8;35.05;8;279.4;185.67;6.4
DN150;BL;381;55.63;31.75;8;317.5;215.9;6.4
DN200;BL;469.9;63.5;38.1;12;393.7;269.75;6.4
DN250;BL;546.1;69.85;38.1;16;469.9;323.85;6.4
DN300;BL;609.6;79.25;38.1;20;533.4;381;6.4
DN350;BL;641.35;85.85;41.15;20;558.8;412.75;6.4
DN400;BL;704.85;88.9;44.45;20;615.95;469.9;6.4
DN450;BL;787.4;101.6;50.8;20;685.8;533.4;6.4
DN500;BL;857.25;107.95;53.85;20;749.3;584.2;6.4
DN600;BL;1041.4;139.7;66.55;20;901.7;692.15;6.4
