PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Plug_LeverRF;178;0;150lb;148;350
DN80;Plug_LeverRF;203;0;150lb;168;500
DN100;Plug_LeverRF;229;0;150lb;201;600
DN150;Plug_GearRF;267;0;150lb;491;450
DN200;Plug_GearRF;292;0;150lb;592;600
DN250;Plug_GearRF;330;0;150lb;617;600
DN300;Plug_GearRF;356;0;150lb;660;600
