PSize;OD;thk;BendAngle;BendRadius
DN15;21.336;7.4676;45;12.7
DN20;26.67;7.8232;45;19.05
DN25;33.401;9.0932;45;25.4
DN32;42.164;9.7028;45;31.75
DN40;48.26;10.16;45;38.1
DN50;60.325;11.0744;45;50.8
DN65;73.025;14.0208;45;63.5
DN80;88.9;15.24;45;76.2
DN90;101.6;16.1544;45;88.9
DN100;114.3;17.1196;45;101.6
DN125;141.3002;19.05;45;127
DN150;168.275;21.9456;45;152.4
DN200;219.075;22.225;45;203.2
DN250;273.05;25.4;45;254
DN300;323.85;25.4;45;304.8
