PSize;OD;thk
DN6;10.287;1.2446
DN8;13.716;1.651
DN10;17.145;1.651
DN15;21.336;2.1082
DN20;26.67;2.1082
DN25;33.401;2.7686
DN32;42.164;2.7686
DN40;48.26;2.7686
DN50;60.325;2.7686
DN65;73.025;3.048
DN80;88.9;3.048
DN90;101.6;3.048
DN100;114.3;3.048
DN125;141.3002;3.4036
DN150;168.275;3.4036
DN200;219.075;3.7592
DN250;273.05;4.191
DN300;323.85;4.572
DN350;355.6;4.7752
DN400;406.4;4.7752
DN450;457.2;4.7752
DN500;508;5.5372
DN550;558.8;5.5372
DN600;609.6;6.35
