PSize;OD;A;C;E;Conn
DN15;21.34;19;4.1;10;SW
DN20;26.67;23;4.25;13;SW
DN25;33.4;26;5;13;SW
DN32;42.16;28;5.3;13;SW
DN40;48.26;30;5.55;13;SW
DN50;60.32;36;6.05;16;SW
DN65;73.02;38;7.65;16;SW
DN80;88.9;42;8.3;16;SW
DN100;114.3;48;9.35;19;SW
