PSize;OD;thk
DN15;21.336;4.7752
DN20;26.67;5.5626
DN25;33.401;6.35
DN32;42.164;6.35
DN40;48.26;7.1374
DN50;60.325;8.7376
DN65;73.025;9.525
DN80;88.9;11.1252
DN100;114.3;13.4874
DN125;141.3002;15.875
DN150;168.275;18.2626
DN200;219.075;23.0124
DN250;273.05;28.575
DN300;323.85;33.3248
DN350;355.6;35.7124
DN400;406.4;40.4876
DN450;457.2;45.2374
DN500;508;50.0126
DN550;558.8;53.975
DN600;609.6;59.5376
