PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_FloatingRF;292;0;600lb;135;230
DN80;Ball_FloatingRF;356;0;600lb;170;400
DN100;Ball_FloatingRF;432;0;600lb;206;460
DN150;Ball_FloatingRF;559;0;600lb;331;550
