PSize;PSize2;OD;OD2;thk;thk2;H;Source
DN20;DN15;26.67;21.34;3.91;3.73;38;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN25;DN15>DN20;33.4;21.34>26.67;4.55;3.73>3.91;51;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN32;DN15>DN20>DN25;42.16;21.34>26.67>33.4;4.85;3.73>3.91>4.55;51;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN40;DN15>DN20>DN25>DN32;48.26;21.34>26.67>33.4>42.16;5.08;3.73>3.91>4.55>4.85;64;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN50;DN20>DN25>DN32>DN40;60.32;26.67>33.4>42.16>48.26;5.54;3.91>4.55>4.85>5.08;76;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN65;DN25>DN32>DN40>DN50;73.02;33.4>42.16>48.26>60.32;7.01;4.55>4.85>5.08>5.54;89;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN80;DN32>DN40>DN50>DN65;88.9;42.16>48.26>60.32>73.02;7.62;4.85>5.08>5.54>7.01;89;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN90;DN32>DN40>DN50>DN65>DN80;101.6;42.16>48.26>60.32>73.02>88.9;8.08;4.85>5.08>5.54>7.01>7.62;102;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN100;DN40>DN50>DN65>DN80>DN90;114.3;48.26>60.32>73.02>88.9>101.6;8.56;5.08>5.54>7.01>7.62>8.08;102;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN125;DN50>DN65>DN80>DN90>DN100;141.3;60.32>73.02>88.9>101.6>114.3;9.52;5.54>7.01>7.62>8.08>8.56;127;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN150;DN65>DN80>DN90>DN100>DN125;168.27;73.02>88.9>101.6>114.3>141.3;10.97;7.01>7.62>8.08>8.56>9.52;140;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN200;DN90>DN100>DN125>DN150;219.07;101.6>114.3>141.3>168.27;12.7;8.08>8.56>9.52>10.97;152;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN250;DN100>DN125>DN150>DN200;273.05;114.3>141.3>168.27>219.07;15.09;8.56>9.52>10.97>12.7;178;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN300;DN125>DN150>DN200>DN250;323.85;141.3>168.27>219.07>273.05;17.48;9.52>10.97>12.7>15.09;203;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN350;DN150>DN200>DN250>DN300;355.6;168.27>219.07>273.05>323.85;19.05;10.97>12.7>15.09>17.48;330;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN400;DN200>DN250>DN300>DN350;406.4;219.07>273.05>323.85>355.6;21.44;12.7>15.09>17.48>19.05;356;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN450;DN250>DN300>DN350>DN400;457.2;273.05>323.85>355.6>406.4;23.83;15.09>17.48>19.05>21.44;381;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN500;DN300>DN350>DN400>DN450;508;323.85>355.6>406.4>457.2;26.19;17.48>19.05>21.44>23.83;508;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN550;DN350>DN400>DN450>DN500;558.8;355.6>406.4>457.2>508;28.58;19.05>21.44>23.83>26.19;508;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
DN600;DN400>DN450>DN500>DN550;609.6;406.4>457.2>508>558.8;30.96;21.44>23.83>26.19>28.58;508;https://www.ferrobend.com/dimensions/ansi-asme/pipe-fitting/b16.9-concentric-reducer/
