PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_TrunnionRF;368;0;1500lb;226;300
DN80;Ball_TrunnionRF;470;0;1500lb;282;350
DN100;Ball_TrunnionRF;546;0;1500lb;304;400
DN150;Ball_TrunnionRF;705;0;1500lb;371;450
DN200;Ball_TrunnionRF;832;0;1500lb;437;500
DN250;Ball_TrunnionRF;991;0;1500lb;502;560
DN300;Ball_TrunnionRF;1130;0;1500lb;555;600
