PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Plug_LeverRF;216;0;300lb;148;350
DN80;Plug_LeverRF;283;0;300lb;168;500
DN100;Plug_GearRF;305;0;300lb;216;250
DN150;Plug_GearRF;403;0;300lb;268;350
DN200;Plug_GearRF;502;0;300lb;291;450
DN250;Plug_GearRF;568;0;300lb;328;600
DN300;Plug_GearRF;711;0;300lb;475;800
