PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_FloatingRF;178;0;150lb;118;230
DN65;Ball_FloatingRF;191;0;150lb;144;400
DN80;Ball_FloatingRF;203;0;150lb;154;400
DN100;Ball_FloatingRF;229;0;150lb;174;460
DN150;Ball_FloatingRF;394;0;150lb;240;550
DN200;Ball_FloatingRF;457;0;150lb;300;1000
DN250;Ball_FloatingRF;533;0;150lb;355;1000
DN300;Ball_FloatingRF;533;0;150lb;480;1000
