PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_TrunnionRF;368;0;900lb;277;300
DN80;Ball_TrunnionRF;381;0;900lb;332;350
DN100;Ball_TrunnionRF;457;0;900lb;354;350
DN150;Ball_TrunnionRF;610;0;900lb;371;400
DN200;Ball_TrunnionRF;737;0;900lb;437;450
DN250;Ball_TrunnionRF;838;0;900lb;502;500
DN300;Ball_TrunnionRF;965;0;900lb;555;560
