PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;2.413;45;4.7625
DN8;13.716;3.0226;45;9.525
DN10;17.145;3.2004;45;14.2875
DN15;21.336;3.7338;45;19.05
DN20;26.67;3.9116;45;28.575
DN25;33.401;4.5466;45;38.1
DN32;42.164;4.8514;45;47.625
DN40;48.26;5.08;45;57.15
DN50;60.325;5.5372;45;76.2
DN65;73.025;7.0104;45;95.25
DN80;88.9;7.62;45;114.3
DN90;101.6;8.0772;45;133.35
DN100;114.3;8.5598;45;152.4
DN125;141.3002;9.525;45;190.5
DN150;168.275;10.9728;45;228.6
DN200;219.075;12.7;45;304.8
DN250;273.05;15.0876;45;381
DN300;323.85;17.4752;45;457.2
DN350;355.6;19.05;45;533.4
DN400;406.4;21.4376;45;609.6
DN450;457.2;23.8252;45;685.8
DN500;508;26.1874;45;762
DN550;558.8;28.575;45;838.2
DN600;609.6;30.9626;45;914.4
