PSize;OD;thk
DN200;219.075;6.35
DN250;273.05;6.35
DN300;323.85;6.35
DN350;355.6;7.9248
DN400;406.4;7.9248
DN450;457.2;7.9248
DN500;508;9.525
DN550;558.8;9.525
DN600;609.6;9.525
