PSize;VType;H;Kv;Conn;TopH;WheelD
DN80;Plug_LeverRF;381;0;900lb;221;1000
DN100;Plug_GearRF;457;0;900lb;249;450
DN150;Plug_GearRF;610;0;900lb;385;600
DN200;Plug_GearRF;737;0;900lb;446;600
DN250;Plug_GearRF;838;0;900lb;485;600
DN300;Plug_GearRF;965;0;900lb;536;600
