standart;SSize;stype;H;W;ta;tf
REBAR;d6;C;3;0;0;0
REBAR;d8;C;4;0;0;0
REBAR;d9;C;4.5;0;0;0
REBAR;d10;C;5;0;0;0
REBAR;d12;C;6;0;0;0
REBAR;d14;C;7;0;0;0
REBAR;d15;C;7.5;0;0;0
REBAR;d16;C;8;0;0;0
REBAR;d18;C;9;0;0;0
REBAR;d20;C;10;0;0;0
REBAR;d22;C;11;0;0;0
REBAR;d24;C;12;0;0;0
REBAR;d25;C;12.5;0;0;0
