PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN200;DN200;219.075;219.075;15.0876;15.0876;178;178
DN250;DN250;273.05;273.05;18.2626;18.2626;216;216
DN300;DN300;323.85;323.85;21.4376;21.4376;254;254
DN350;DN350;355.6;355.6;23.8252;23.8252;279;279
DN400;DN400;406.4;406.4;26.1874;26.1874;305;305
DN450;DN450;457.2;457.2;29.3624;29.3624;343;343
DN500;DN500;508;508;32.5374;32.5374;381;381
DN550;DN550;558.8;558.8;34.925;34.925;419;419
DN600;DN600;609.6;609.6;38.8874;38.8874;432;432
DN250;DN200;273.05;219.075;18.2626;15.0876;216;203
DN300;DN250;323.85;273.05;21.4376;18.2626;254;241
DN300;DN200;323.85;219.075;21.4376;15.0876;254;229
DN350;DN300;355.6;323.85;23.8252;21.4376;279;270
DN350;DN250;355.6;273.05;23.8252;18.2626;279;257
DN350;DN200;355.6;219.075;23.8252;15.0876;279;248
DN400;DN350;406.4;355.6;26.1874;23.8252;305;305
DN400;DN300;406.4;323.85;26.1874;21.4376;305;295
DN400;DN250;406.4;273.05;26.1874;18.2626;305;283
DN400;DN200;406.4;219.075;26.1874;15.0876;305;273
DN450;DN400;457.2;406.4;29.3624;26.1874;343;330
DN450;DN350;457.2;355.6;29.3624;23.8252;343;330
DN450;DN300;457.2;323.85;29.3624;21.4376;343;321
DN450;DN250;457.2;273.05;29.3624;18.2626;343;308
DN450;DN200;457.2;219.075;29.3624;15.0876;343;298
DN500;DN450;508;457.2;32.5374;29.3624;381;368
DN500;DN400;508;406.4;32.5374;26.1874;381;356
DN500;DN350;508;355.6;32.5374;23.8252;381;356
DN500;DN300;508;323.85;32.5374;21.4376;381;346
DN500;DN250;508;273.05;32.5374;18.2626;381;333
DN500;DN200;508;219.075;32.5374;15.0876;381;324
DN550;DN500;558.8;508;34.925;32.5374;419;406
DN550;DN450;558.8;457.2;34.925;29.3624;419;394
DN550;DN400;558.8;406.4;34.925;26.1874;419;381
DN550;DN350;558.8;355.6;34.925;23.8252;419;381
DN550;DN300;558.8;323.85;34.925;21.4376;419;371
DN550;DN250;558.8;273.05;34.925;18.2626;419;359
DN600;DN550;609.6;558.8;38.8874;34.925;432;432
DN600;DN500;609.6;508;38.8874;32.5374;432;432
DN600;DN450;609.6;457.2;38.8874;29.3624;432;419
DN600;DN400;609.6;406.4;38.8874;26.1874;432;406
DN600;DN350;609.6;355.6;38.8874;23.8252;432;406
DN600;DN300;609.6;323.85;38.8874;21.4376;432;397
DN600;DN250;609.6;273.05;38.8874;18.2626;432;384
