PSize;OD;thk;BendAngle;BendRadius
DN10;17.145;1.8542;90;14.2875
DN15;21.336;2.413;90;19.05
DN20;26.67;2.413;90;28.575
DN25;33.401;2.8956;90;38.1
DN32;42.164;2.9718;90;47.625
DN40;48.26;3.175;90;57.15
DN50;60.325;3.175;90;76.2
DN65;73.025;4.7752;90;95.25
DN80;88.9;4.7752;90;114.3
DN90;101.6;4.7752;90;133.35
DN100;114.3;4.7752;90;152.4
DN200;219.075;7.0358;90;304.8
DN250;273.05;7.7978;90;381
DN300;323.85;8.382;90;457.2
DN350;355.6;9.525;90;533.4
DN400;406.4;9.525;90;609.6
DN450;457.2;11.1252;90;685.8
DN500;508;12.7;90;762
DN550;558.8;12.7;90;838.2
DN600;609.6;14.2748;90;914.4
