PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_FloatingRF;216;0;300lb;94;230
DN65;Ball_FloatingRF;241;0;300lb;115;400
DN80;Ball_FloatingRF;282;0;300lb;120;400
DN100;Ball_FloatingRF;305;0;300lb;195;460
DN150;Ball_FloatingRF;403;0;300lb;240;550
DN200;Ball_FloatingRF;502;0;300lb;300;1000
DN250;Ball_FloatingRF;568;0;300lb;355;1000
