PSize;OD;thk
DN200;219.075;15.0876
DN250;273.05;18.2626
DN300;323.85;21.4376
DN350;355.6;23.8252
DN400;406.4;26.1874
DN450;457.2;29.3624
DN500;508;32.5374
DN550;558.8;34.925
DN600;609.6;38.8874
