PSize;FlangeType;D;t;f;n;df;drf;trf
DN15;BL;95.25;14.22;15.75;4;66.55;35.05;6.4
DN20;BL;117.35;15.75;19.05;4;82.55;42.93;6.4
DN25;BL;123.95;17.53;19.05;4;88.9;50.8;6.4
DN32;BL;133.35;20.57;19.05;4;98.55;63.5;6.4
DN40;BL;155.45;22.35;22.35;4;114.3;73.15;6.4
DN50;BL;165.1;25.4;19.05;8;127;91.95;6.4
DN65;BL;190.5;28.45;22.35;8;149.35;104.65;6.4
DN80;BL;209.55;31.75;22.35;8;168.15;127;6.4
DN90;BL;228.6;35.05;25.4;8;169.15;139.7;6.4
DN100;BL;273.05;38.1;25.4;8;215.9;157.53;6.4
DN125;BL;330.2;44.45;28.45;8;266.7;185.67;6.4
DN150;BL;355.6;47.75;28.45;12;292;215.9;6.4
DN200;BL;419.1;55.63;31.75;12;349.25;269.75;6.4
DN250;BL;508;63.5;35.05;16;431.8;323.85;6.4
DN300;BL;558.8;66.55;35.05;20;488.95;381;6.4
DN350;BL;603.25;69.85;38.1;20;527.05;412.75;6.4
DN400;BL;685.8;76.2;41.15;20;603.25;469.9;6.4
DN450;BL;742.95;82.55;44.45;20;654.05;533.4;6.4
DN500;BL;812.8;88.9;44.45;24;723.9;584.2;6.4
