PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_TrunnionRF;178;0;150lb;226;250
DN80;Ball_TrunnionRF;203;0;150lb;282;300
DN100;Ball_TrunnionRF;229;0;150lb;304;300
DN150;Ball_TrunnionRF;394;0;150lb;371;350
DN200;Ball_TrunnionRF;457;0;150lb;437;400
DN250;Ball_TrunnionRF;533;0;150lb;502;450
DN300;Ball_TrunnionRF;610;0;150lb;555;500
