PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;1.2446;90;3.175
DN8;13.716;1.651;90;6.35
DN10;17.145;1.651;90;9.525
DN15;21.336;2.1082;90;12.7
DN20;26.67;2.1082;90;19.05
DN25;33.401;2.7686;90;25.4
DN32;42.164;2.7686;90;31.75
DN40;48.26;2.7686;90;38.1
DN50;60.325;2.7686;90;50.8
DN65;73.025;3.048;90;63.5
DN80;88.9;3.048;90;76.2
DN90;101.6;3.048;90;88.9
DN100;114.3;3.048;90;101.6
DN125;141.3002;3.4036;90;127
DN150;168.275;3.4036;90;152.4
DN200;219.075;3.7592;90;203.2
DN250;273.05;4.191;90;254
DN300;323.85;4.572;90;304.8
DN350;355.6;6.35;90;355.6
DN400;406.4;6.35;90;406.4
DN450;457.2;6.35;90;457.2
DN500;508;6.35;90;508
DN550;558.8;6.35;90;558.8
DN600;609.6;6.35;90;609.6
