PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;2.413;90;3.175
DN8;13.716;3.0226;90;6.35
DN10;17.145;3.2004;90;9.525
DN15;21.336;3.7338;90;12.7
DN20;26.67;3.9116;90;19.05
DN25;33.401;4.5466;90;25.4
DN32;42.164;4.8514;90;31.75
DN40;48.26;5.08;90;38.1
DN50;60.325;5.5372;90;50.8
DN65;73.025;7.0104;90;63.5
DN80;88.9;7.62;90;76.2
DN90;101.6;8.0772;90;88.9
DN100;114.3;8.5598;90;101.6
DN125;141.3002;9.525;90;127
DN150;168.275;10.9728;90;152.4
DN200;219.075;12.7;90;203.2
DN250;273.05;15.0876;90;254
DN300;323.85;17.4752;90;304.8
DN350;355.6;19.05;90;355.6
DN400;406.4;21.4376;90;406.4
DN450;457.2;23.8252;90;457.2
DN500;508;26.1874;90;508
DN550;558.8;28.575;90;558.8
DN600;609.6;30.9626;90;609.6
