PSize;OD;A;C;E;Conn
DN15;21.34;17.4;5.18;9.5;SW
DN20;26.67;20.4;6.04;12.5;SW
DN25;33.4;23.7;6.93;12.5;SW
DN32;42.16;23.7;6.93;12.5;SW
DN40;48.26;25.2;7.8;12.5;SW
DN50;60.32;31.7;9.5;16;SW
