PSize;OD;thk
DN200;219.075;20.6248
DN250;273.05;25.4
DN300;323.85;28.575
DN350;355.6;31.75
DN400;406.4;36.5252
DN450;457.2;39.6748
DN500;508;44.45
DN550;558.8;47.625
DN600;609.6;66.548
