PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN200;DN200;219.075;219.075;10.3124;10.3124;178;178
DN250;DN250;273.05;273.05;12.7;12.7;216;216
DN300;DN300;323.85;323.85;14.2748;14.2748;254;254
DN350;DN350;355.6;355.6;15.0876;15.0876;279;279
DN400;DN400;406.4;406.4;16.6624;16.6624;305;305
DN450;DN450;457.2;457.2;19.05;19.05;343;343
DN500;DN500;508;508;20.6248;20.6248;381;381
DN550;DN550;558.8;558.8;22.225;22.225;419;419
DN600;DN600;609.6;609.6;24.6126;24.6126;432;432
DN250;DN200;273.05;219.075;12.7;10.3124;216;203
DN300;DN250;323.85;273.05;14.2748;12.7;254;241
DN300;DN200;323.85;219.075;14.2748;10.3124;254;229
DN350;DN300;355.6;323.85;15.0876;14.2748;279;270
DN350;DN250;355.6;273.05;15.0876;12.7;279;257
DN350;DN200;355.6;219.075;15.0876;10.3124;279;248
DN400;DN350;406.4;355.6;16.6624;15.0876;305;305
DN400;DN300;406.4;323.85;16.6624;14.2748;305;295
DN400;DN250;406.4;273.05;16.6624;12.7;305;283
DN400;DN200;406.4;219.075;16.6624;10.3124;305;273
DN450;DN400;457.2;406.4;19.05;16.6624;343;330
DN450;DN350;457.2;355.6;19.05;15.0876;343;330
DN450;DN300;457.2;323.85;19.05;14.2748;343;321
DN450;DN250;457.2;273.05;19.05;12.7;343;308
DN450;DN200;457.2;219.075;19.05;10.3124;343;298
DN500;DN450;508;457.2;20.6248;19.05;381;368
DN500;DN400;508;406.4;20.6248;16.6624;381;356
DN500;DN350;508;355.6;20.6248;15.0876;381;356
DN500;DN300;508;323.85;20.6248;14.2748;381;346
DN500;DN250;508;273.05;20.6248;12.7;381;333
DN500;DN200;508;219.075;20.6248;10.3124;381;324
DN550;DN500;558.8;508;22.225;20.6248;419;406
DN550;DN450;558.8;457.2;22.225;19.05;419;394
DN550;DN400;558.8;406.4;22.225;16.6624;419;381
DN550;DN350;558.8;355.6;22.225;15.0876;419;381
DN550;DN300;558.8;323.85;22.225;14.2748;419;371
DN550;DN250;558.8;273.05;22.225;12.7;419;359
DN600;DN550;609.6;558.8;24.6126;22.225;432;432
DN600;DN500;609.6;508;24.6126;20.6248;432;432
DN600;DN450;609.6;457.2;24.6126;19.05;432;419
DN600;DN400;609.6;406.4;24.6126;16.6624;432;406
DN600;DN350;609.6;355.6;24.6126;15.0876;432;406
DN600;DN300;609.6;323.85;24.6126;14.2748;432;397
DN600;DN250;609.6;273.05;24.6126;12.7;432;384
