PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Ball_TrunnionRF;216;0;300lb;226;250
DN80;Ball_TrunnionRF;283;0;300lb;282;300
DN100;Ball_TrunnionRF;305;0;300lb;304;300
DN150;Ball_TrunnionRF;403;0;300lb;371;350
DN200;Ball_TrunnionRF;502;0;300lb;437;400
DN250;Ball_TrunnionRF;568;0;300lb;502;450
DN300;Ball_TrunnionRF;648;0;300lb;555;500
