PSize;OD;thk
DN100;114.3;11.1252
DN125;141.3002;12.7
DN150;168.275;14.2748
DN200;219.075;18.2626
DN250;273.05;21.4376
DN300;323.85;25.4
DN350;355.6;27.7876
DN400;406.4;30.9626
DN450;457.2;34.925
DN500;508;38.1
DN550;558.8;41.275
DN600;609.6;46.0248
