PSize;OD;thk
DN15;21.336;7.4676
DN20;26.67;7.8232
DN25;33.401;9.0932
DN32;42.164;9.7028
DN40;48.26;10.16
DN50;60.325;11.0744
DN65;73.025;14.0208
DN80;88.9;15.24
DN90;101.6;16.1544
DN100;114.3;17.1196
DN125;141.3002;19.05
DN150;168.275;21.9456
DN200;219.075;22.225
DN250;273.05;25.4
DN300;323.85;25.4
