PSize;stype;H;W;ta;tf
W30x132;H;777.2;267.7;17.5;36.6
W30x148;H;779.8;304.8;18.0;38.6
W30x173;H;787.4;307.3;20.8;44.9
W33x118;H;838.2;292.1;15.5;30.7
W33x130;H;842.0;292.1;16.8;33.8
W33x141;H;847.1;292.1;18.0;36.8
W33x152;H;850.6;294.6;19.3;39.6
W33x169;H;854.1;339.6;20.6;43.4
W33x201;H;865.8;342.9;24.9;52.3
W36x135;H;912.6;304.8;17.8;34.5
W36x150;H;917.7;304.8;19.3;38.1
W36x160;H;922.1;304.8;20.3;40.9
W36x170;H;926.0;304.8;21.3;43.4
W36x182;H;929.1;307.3;22.6;46.5
W36x194;H;933.5;307.3;24.1;49.3
W36x210;H;938.5;309.6;25.4;53.1
W36x232;H;945.8;311.2;27.7;58.9
W36x256;H;953.1;313.7;30.5;64.8
W36x280;H;960.1;316.2;33.8;71.1
W36x300;H;965.2;317.5;36.1;76.5
W40x149;H;1007.7;317.5;19.8;38.6
W40x167;H;1013.8;319.8;22.1;43.4
W40x183;H;1017.3;320.8;24.1;47.5
W40x199;H;1021.1;320.8;26.4;52.3
W40x211;H;1022.4;320.8;26.2;55.1
W40x235;H;1028.7;323.2;30.2;60.5
W40x264;H;1036.3;325.6;33.8;67.1
W40x278;H;1039.9;327.7;35.6;71.1
