PSize;OD;thk;BendAngle;BendRadius
DN15;21.336;1.651;90;12.7
DN20;26.67;1.651;90;19.05
DN25;33.401;1.651;90;25.4
DN32;42.164;1.651;90;31.75
DN40;48.26;1.651;90;38.1
DN50;60.325;1.651;90;50.8
DN65;73.025;2.1082;90;63.5
DN80;88.9;2.1082;90;76.2
DN90;101.6;2.1082;90;88.9
DN100;114.3;2.1082;90;101.6
DN125;141.3002;2.7686;90;127
DN150;168.275;2.7686;90;152.4
DN200;219.075;2.7686;90;203.2
DN250;273.05;3.4036;90;254
DN300;323.85;3.9624;90;304.8
DN350;355.6;3.9624;90;355.6
DN400;406.4;4.191;90;406.4
DN450;457.2;4.191;90;457.2
DN500;508;4.7752;90;508
DN550;558.8;4.7752;90;558.8
DN600;609.6;5.5372;90;609.6
