PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;4.7752;4.7752;25;25
DN20;DN20;26.67;26.67;5.5626;5.5626;29;29
DN25;DN25;33.401;33.401;6.35;6.35;38;38
DN32;DN32;42.164;42.164;6.35;6.35;48;48
DN40;DN40;48.26;48.26;7.1374;7.1374;57;57
DN50;DN50;60.325;60.325;8.7376;8.7376;64;64
DN65;DN65;73.025;73.025;9.525;9.525;76;76
DN80;DN80;88.9;88.9;11.1252;11.1252;86;86
DN100;DN100;114.3;114.3;13.4874;13.4874;105;105
DN125;DN125;141.3002;141.3002;15.875;15.875;124;124
DN150;DN150;168.275;168.275;18.2626;18.2626;143;143
DN200;DN200;219.075;219.075;23.0124;23.0124;178;178
DN250;DN250;273.05;273.05;28.575;28.575;216;216
DN300;DN300;323.85;323.85;33.3248;33.3248;254;254
DN350;DN350;355.6;355.6;35.7124;35.7124;279;279
DN400;DN400;406.4;406.4;40.4876;40.4876;305;305
DN450;DN450;457.2;457.2;45.2374;45.2374;343;343
DN500;DN500;508;508;50.0126;50.0126;381;381
DN550;DN550;558.8;558.8;53.975;53.975;419;419
DN600;DN600;609.6;609.6;59.5376;59.5376;432;432
DN20;DN15;26.67;21.336;5.5626;4.7752;29;29
DN25;DN20;33.401;26.67;6.35;5.5626;38;38
DN25;DN15;33.401;21.336;6.35;4.7752;38;38
DN32;DN25;42.164;33.401;6.35;6.35;48;48
DN32;DN20;42.164;26.67;6.35;5.5626;48;48
DN32;DN15;42.164;21.336;6.35;4.7752;48;48
DN40;DN40;48.26;48.26;7.1374;7.1374;57;57
DN40;DN25;48.26;33.401;7.1374;6.35;57;57
DN40;DN20;48.26;26.67;7.1374;5.5626;57;57
DN40;DN15;48.26;21.336;7.1374;4.7752;57;57
DN50;DN40;60.325;48.26;8.7376;7.1374;64;60
DN50;DN32;60.325;42.164;8.7376;6.35;64;57
DN50;DN25;60.325;33.401;8.7376;6.35;64;51
DN50;DN20;60.325;26.67;8.7376;5.5626;64;44
DN65;DN50;73.025;60.325;9.525;8.7376;76;70
DN65;DN40;73.025;48.26;9.525;7.1374;76;67
DN65;DN32;73.025;42.164;9.525;6.35;76;64
DN65;DN25;73.025;33.401;9.525;6.35;76;57
DN80;DN65;88.9;73.025;11.1252;9.525;86;83
DN80;DN50;88.9;60.325;11.1252;8.7376;86;76
DN80;DN40;88.9;48.26;11.1252;7.1374;86;73
DN80;DN32;88.9;42.164;11.1252;6.35;86;70
DN100;DN80;114.3;88.9;13.4874;11.1252;105;98
DN100;DN65;114.3;73.025;13.4874;9.525;105;95
DN100;DN50;114.3;60.325;13.4874;8.7376;105;89
DN100;DN40;114.3;48.26;13.4874;7.1374;105;86
DN125;DN100;141.3002;114.3;15.875;13.4874;124;117
DN125;DN80;141.3002;88.9;15.875;11.1252;124;111
DN125;DN65;141.3002;73.025;15.875;9.525;124;108
DN125;DN50;141.3002;60.325;15.875;8.7376;124;105
DN150;DN125;168.275;141.3002;18.2626;15.875;143;137
DN150;DN100;168.275;114.3;18.2626;13.4874;143;130
DN150;DN80;168.275;88.9;18.2626;11.1252;143;124
DN150;DN65;168.275;73.025;18.2626;9.525;143;121
DN200;DN150;219.075;168.275;23.0124;18.2626;178;168
DN200;DN125;219.075;141.3002;23.0124;15.875;178;162
DN200;DN100;219.075;114.3;23.0124;13.4874;178;156
DN250;DN200;273.05;219.075;28.575;23.0124;216;203
DN250;DN150;273.05;168.275;28.575;18.2626;216;194
DN250;DN125;273.05;141.3002;28.575;15.875;216;191
DN250;DN100;273.05;114.3;28.575;13.4874;216;184
DN300;DN250;323.85;273.05;33.3248;28.575;254;241
DN300;DN200;323.85;219.075;33.3248;23.0124;254;229
DN300;DN150;323.85;168.275;33.3248;18.2626;254;219
DN300;DN125;323.85;141.3002;33.3248;15.875;254;216
DN350;DN300;355.6;323.85;35.7124;33.3248;279;270
DN350;DN250;355.6;273.05;35.7124;28.575;279;257
DN350;DN200;355.6;219.075;35.7124;23.0124;279;248
DN350;DN150;355.6;168.275;35.7124;18.2626;279;238
DN400;DN350;406.4;355.6;40.4876;35.7124;305;305
DN400;DN300;406.4;323.85;40.4876;33.3248;305;295
DN400;DN250;406.4;273.05;40.4876;28.575;305;283
DN400;DN200;406.4;219.075;40.4876;23.0124;305;273
DN400;DN150;406.4;168.275;40.4876;18.2626;305;264
DN450;DN400;457.2;406.4;45.2374;40.4876;343;330
DN450;DN350;457.2;355.6;45.2374;35.7124;343;330
DN450;DN300;457.2;323.85;45.2374;33.3248;343;321
DN450;DN250;457.2;273.05;45.2374;28.575;343;308
DN450;DN200;457.2;219.075;45.2374;23.0124;343;298
DN500;DN450;508;457.2;50.0126;45.2374;381;368
DN500;DN400;508;406.4;50.0126;40.4876;381;356
DN500;DN350;508;355.6;50.0126;35.7124;381;356
DN500;DN300;508;323.85;50.0126;33.3248;381;346
DN500;DN250;508;273.05;50.0126;28.575;381;333
DN500;DN200;508;219.075;50.0126;23.0124;381;324
DN550;DN500;558.8;508;53.975;50.0126;419;406
DN550;DN450;558.8;457.2;53.975;45.2374;419;394
DN550;DN400;558.8;406.4;53.975;40.4876;419;381
DN550;DN350;558.8;355.6;53.975;35.7124;419;381
DN550;DN300;558.8;323.85;53.975;33.3248;419;371
DN550;DN250;558.8;273.05;53.975;28.575;419;359
DN600;DN550;609.6;558.8;59.5376;53.975;432;432
