PSize;OD;thk
DN200;219.075;10.3124
DN250;273.05;12.7
DN300;323.85;14.2748
DN350;355.6;15.0876
DN400;406.4;16.6624
DN450;457.2;19.05
DN500;508;20.6248
DN550;558.8;22.225
DN600;609.6;24.6126
