PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Plug_LeverRF;292;0;600lb;148;550
DN80;Plug_LeverRF;356;0;600lb;168;700
DN100;Plug_GearRF;432;0;600lb;350;250
DN150;Plug_GearRF;559;0;600lb;445;350
DN200;Plug_GearRF;660;0;600lb;580;450
DN250;Plug_GearRF;787;0;600lb;775;450
DN300;Plug_GearRF;838;0;600lb;704;600
