PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;2.1082;2.1082;25;25
DN20;DN20;26.67;26.67;2.1082;2.1082;29;29
DN25;DN25;33.401;33.401;2.7686;2.7686;38;38
DN32;DN32;42.164;42.164;2.7686;2.7686;48;48
DN40;DN40;48.26;48.26;2.7686;2.7686;57;57
DN50;DN50;60.325;60.325;2.7686;2.7686;64;64
DN65;DN65;73.025;73.025;3.048;3.048;76;76
DN80;DN80;88.9;88.9;3.048;3.048;86;86
DN90;DN90;101.6;101.6;3.048;3.048;95;95
DN100;DN100;114.3;114.3;3.048;3.048;105;105
DN125;DN125;141.3002;141.3002;3.4036;3.4036;124;124
DN150;DN150;168.275;168.275;3.4036;3.4036;143;143
DN200;DN200;219.075;219.075;3.7592;3.7592;178;178
DN250;DN250;273.05;273.05;4.191;4.191;216;216
DN300;DN300;323.85;323.85;4.572;4.572;254;254
DN350;DN350;355.6;355.6;6.35;6.35;279;279
DN400;DN400;406.4;406.4;6.35;6.35;305;305
DN450;DN450;457.2;457.2;6.35;6.35;343;343
DN500;DN500;508;508;6.35;6.35;381;381
DN550;DN550;558.8;558.8;6.35;6.35;419;419
DN600;DN600;609.6;609.6;6.35;6.35;432;432
DN15;DN10;21.336;17.145;2.1082;1.651;25;25
DN15;DN8;21.336;13.716;2.1082;1.651;25;25
DN20;DN15;26.67;21.336;2.1082;2.1082;29;29
DN20;DN10;26.67;17.145;2.1082;1.651;29;29
DN25;DN20;33.401;26.67;2.7686;2.1082;38;38
DN25;DN15;33.401;21.336;2.7686;2.1082;38;38
DN32;DN25;42.164;33.401;2.7686;2.7686;48;48
DN32;DN20;42.164;26.67;2.7686;2.1082;48;48
DN32;DN15;42.164;21.336;2.7686;2.1082;48;48
DN40;DN40;48.26;48.26;2.7686;2.7686;57;57
DN40;DN25;48.26;33.401;2.7686;2.7686;57;57
DN40;DN20;48.26;26.67;2.7686;2.1082;57;57
DN40;DN15;48.26;21.336;2.7686;2.1082;57;57
DN50;DN40;60.325;48.26;2.7686;2.7686;64;60
DN50;DN32;60.325;42.164;2.7686;2.7686;64;57
DN50;DN25;60.325;33.401;2.7686;2.7686;64;51
DN50;DN20;60.325;26.67;2.7686;2.1082;64;44
DN65;DN50;73.025;60.325;3.048;2.7686;76;70
DN65;DN40;73.025;48.26;3.048;2.7686;76;67
DN65;DN32;73.025;42.164;3.048;2.7686;76;64
DN65;DN25;73.025;33.401;3.048;2.7686;76;57
DN80;DN65;88.9;73.025;3.048;3.048;86;83
DN80;DN50;88.9;60.325;3.048;2.7686;86;76
DN80;DN40;88.9;48.26;3.048;2.7686;86;73
DN80;DN32;88.9;42.164;3.048;2.7686;86;70
DN90;DN80;101.6;88.9;3.048;3.048;95;92
DN90;DN65;101.6;73.025;3.048;3.048;95;89
DN90;DN50;101.6;60.325;3.048;2.7686;95;83
DN90;DN40;101.6;48.26;3.048;2.7686;95;79
DN100;DN90;114.3;101.6;3.048;3.048;105;102
DN100;DN80;114.3;88.9;3.048;3.048;105;98
DN100;DN65;114.3;73.025;3.048;3.048;105;95
DN100;DN50;114.3;60.325;3.048;2.7686;105;89
DN100;DN40;114.3;48.26;3.048;2.7686;105;86
DN125;DN100;141.3002;114.3;3.4036;3.048;124;117
DN125;DN90;141.3002;101.6;3.4036;3.048;124;114
DN125;DN80;141.3002;88.9;3.4036;3.048;124;111
DN125;DN65;141.3002;73.025;3.4036;3.048;124;108
DN125;DN50;141.3002;60.325;3.4036;2.7686;124;105
DN150;DN125;168.275;141.3002;3.4036;3.4036;143;137
DN150;DN100;168.275;114.3;3.4036;3.048;143;130
DN150;DN90;168.275;101.6;3.4036;3.048;143;127
DN150;DN80;168.275;88.9;3.4036;3.048;143;124
DN150;DN65;168.275;73.025;3.4036;3.048;143;121
DN200;DN150;219.075;168.275;3.7592;3.4036;178;168
DN200;DN125;219.075;141.3002;3.7592;3.4036;178;162
DN200;DN100;219.075;114.3;3.7592;3.048;178;156
DN200;DN90;219.075;101.6;3.7592;3.048;178;152
DN250;DN200;273.05;219.075;4.191;3.7592;216;203
DN250;DN150;273.05;168.275;4.191;3.4036;216;194
DN250;DN125;273.05;141.3002;4.191;3.4036;216;191
DN250;DN100;273.05;114.3;4.191;3.048;216;184
DN300;DN250;323.85;273.05;4.572;4.191;254;241
DN300;DN200;323.85;219.075;4.572;3.7592;254;229
DN300;DN150;323.85;168.275;4.572;3.4036;254;219
DN300;DN125;323.85;141.3002;4.572;3.4036;254;216
DN350;DN300;355.6;323.85;6.35;4.572;279;270
DN350;DN250;355.6;273.05;6.35;4.191;279;257
DN350;DN200;355.6;219.075;6.35;3.7592;279;248
DN350;DN150;355.6;168.275;6.35;3.4036;279;238
DN400;DN350;406.4;355.6;6.35;6.35;305;305
DN400;DN300;406.4;323.85;6.35;4.572;305;295
DN400;DN250;406.4;273.05;6.35;4.191;305;283
DN400;DN200;406.4;219.075;6.35;3.7592;305;273
DN400;DN150;406.4;168.275;6.35;3.4036;305;264
DN450;DN400;457.2;406.4;6.35;6.35;343;330
DN450;DN350;457.2;355.6;6.35;6.35;343;330
DN450;DN300;457.2;323.85;6.35;4.572;343;321
DN450;DN250;457.2;273.05;6.35;4.191;343;308
DN450;DN200;457.2;219.075;6.35;3.7592;343;298
DN500;DN450;508;457.2;6.35;6.35;381;368
DN500;DN400;508;406.4;6.35;6.35;381;356
DN500;DN350;508;355.6;6.35;6.35;381;356
DN500;DN300;508;323.85;6.35;4.572;381;346
DN500;DN250;508;273.05;6.35;4.191;381;333
DN500;DN200;508;219.075;6.35;3.7592;381;324
DN550;DN500;558.8;508;6.35;6.35;419;406
DN550;DN450;558.8;457.2;6.35;6.35;419;394
DN550;DN400;558.8;406.4;6.35;6.35;419;381
DN550;DN350;558.8;355.6;6.35;6.35;419;381
DN550;DN300;558.8;323.85;6.35;4.572;419;371
DN550;DN250;558.8;273.05;6.35;4.191;419;359
DN600;DN550;609.6;558.8;6.35;6.35;432;432
DN600;DN500;609.6;508;6.35;6.35;432;432
DN600;DN450;609.6;457.2;6.35;6.35;432;419
DN600;DN400;609.6;406.4;6.35;6.35;432;406
DN600;DN350;609.6;355.6;6.35;6.35;432;406
DN600;DN300;609.6;323.85;6.35;4.572;432;397
DN600;DN250;609.6;273.05;6.35;4.191;432;384
