PSize;OD;thk
DN15;21.336;1.651
DN20;26.67;1.651
DN25;33.401;1.651
DN32;42.164;1.651
DN40;48.26;1.651
DN50;60.325;1.651
DN65;73.025;2.1082
DN80;88.9;2.1082
DN90;101.6;2.1082
DN100;114.3;2.1082
DN125;141.3002;2.7686
DN150;168.275;2.7686
DN200;219.075;2.7686
DN250;273.05;3.4036
DN300;323.85;3.9624
DN350;355.6;3.9624
DN400;406.4;4.191
DN450;457.2;4.191
DN500;508;4.7752
DN550;558.8;4.7752
DN600;609.6;5.5372
