PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;3.7338;3.7338;25;25
DN20;DN20;26.67;26.67;3.9116;3.9116;29;29
DN25;DN25;33.401;33.401;4.5466;4.5466;38;38
DN32;DN32;42.164;42.164;4.8514;4.8514;48;48
DN40;DN40;48.26;48.26;5.08;5.08;57;57
DN50;DN50;60.325;60.325;5.5372;5.5372;64;64
DN65;DN65;73.025;73.025;7.0104;7.0104;76;76
DN80;DN80;88.9;88.9;7.62;7.62;86;86
DN90;DN90;101.6;101.6;8.0772;8.0772;95;95
DN100;DN100;114.3;114.3;8.5598;8.5598;105;105
DN125;DN125;141.3002;141.3002;9.525;9.525;124;124
DN150;DN150;168.275;168.275;10.9728;10.9728;143;143
DN200;DN200;219.075;219.075;12.7;12.7;178;178
DN250;DN250;273.05;273.05;12.7;12.7;216;216
DN300;DN300;323.85;323.85;12.7;12.7;254;254
DN350;DN350;355.6;355.6;12.7;12.7;279;279
DN400;DN400;406.4;406.4;12.7;12.7;305;305
DN450;DN450;457.2;457.2;12.7;12.7;343;343
DN500;DN500;508;508;12.7;12.7;381;381
DN550;DN550;558.8;558.8;12.7;12.7;419;419
DN600;DN600;609.6;609.6;12.7;12.7;432;432
DN15;DN10;21.336;17.145;3.7338;3.2004;25;25
DN15;DN8;21.336;13.716;3.7338;3.0226;25;25
DN20;DN15;26.67;21.336;3.9116;3.7338;29;29
DN20;DN10;26.67;17.145;3.9116;3.2004;29;29
DN25;DN20;33.401;26.67;4.5466;3.9116;38;38
DN25;DN15;33.401;21.336;4.5466;3.7338;38;38
DN32;DN25;42.164;33.401;4.8514;4.5466;48;48
DN32;DN20;42.164;26.67;4.8514;3.9116;48;48
DN32;DN15;42.164;21.336;4.8514;3.7338;48;48
DN40;DN40;48.26;48.26;5.08;5.08;57;57
DN40;DN25;48.26;33.401;5.08;4.5466;57;57
DN40;DN20;48.26;26.67;5.08;3.9116;57;57
DN40;DN15;48.26;21.336;5.08;3.7338;57;57
DN50;DN40;60.325;48.26;5.5372;5.08;64;60
DN50;DN32;60.325;42.164;5.5372;4.8514;64;57
DN50;DN25;60.325;33.401;5.5372;4.5466;64;51
DN50;DN20;60.325;26.67;5.5372;3.9116;64;44
DN65;DN50;73.025;60.325;7.0104;5.5372;76;70
DN65;DN40;73.025;48.26;7.0104;5.08;76;67
DN65;DN32;73.025;42.164;7.0104;4.8514;76;64
DN65;DN25;73.025;33.401;7.0104;4.5466;76;57
DN80;DN65;88.9;73.025;7.62;7.0104;86;83
DN80;DN50;88.9;60.325;7.62;5.5372;86;76
DN80;DN40;88.9;48.26;7.62;5.08;86;73
DN80;DN32;88.9;42.164;7.62;4.8514;86;70
DN90;DN80;101.6;88.9;8.0772;7.62;95;92
DN90;DN65;101.6;73.025;8.0772;7.0104;95;89
DN90;DN50;101.6;60.325;8.0772;5.5372;95;83
DN90;DN40;101.6;48.26;8.0772;5.08;95;79
